Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
13 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.533;1.250;162;3750;81;3;;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;67,00;https://www.immowelt.de/expose/2dveg5t
12 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.563;1.250;179;3750;89;3;3. Geschoss;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;63,00;https://www.immowelt.de/expose/2dueg5t
11 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.224;1.000;128;3000;64;2;;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;63,00;https://www.immowelt.de/expose/2dteg5t
10 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.979;1.650;188;4950;94;4;;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;63,00;https://www.immowelt.de/expose/2dseg5t
09 Wohnen an der Dahme + Neubau mit Balkon + EBK;1.201;1.000;115;3000;57;2;1. Geschoss;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;63,00;https://www.immowelt.de/expose/2dreg5t
08 Wohnen an der Dahme + Neubau mit Balkon + EBK;1.958;1.650;176;4950;88;4;1. Geschoss;12527 Berlin Grünau;Gäste-WC;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;63,00;https://www.immowelt.de/expose/2dqeg5t
07 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.200;1.000;114;3000;57;2;3. Geschoss;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;63,00;https://www.immowelt.de/expose/2dpeg5t
06 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.564;1.250;179;3750;89;3;3. Geschoss;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;63,00;https://www.immowelt.de/expose/2dneg5t
05 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.207;1.000;118;3000;59;2;;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;67,00;https://www.immowelt.de/expose/2dmeg5t
04 Wohnen an der Dahme + Neubau mit Terrasse + EBK;1.554;1.250;174;3750;87;3;;12527 Berlin Grünau;;;2023;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;B;;67,00;https://www.immowelt.de/expose/2dkeg5t
