Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Erstbezug! - Penthouse-Appartment in bester Lage;1450;1300;150;;43.4;1;"4
                                                                                    von 4"; 10963 Berlin, Kreuzberg;Tiere erlaubt, Energieausweis in Vorbereitung;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024 / n.V.;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34419523
Gemütliches Zuhause: Möbelierte 2-Zimmer-Wohnung im grünen Köpenick;1650;1300;350;;78.36;2;;;Keller, Energieausweis in Vorbereitung;;1937;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.05.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34419532
"Zum Träumen: Schicke 3-Zimmer-Wohnung mit 2 Balkons und offenem Küchenbereich im Neubauquartier &#039;...";1955;1660;295;;90.64;3;"1
                                                                                    von 5"; 12051 Berlin, Neukölln;Aufzug, Keller, Neubau, Tiere erlaubt, Bedarfsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34419474
Traumhafte Maisonette in Spandau;1491,20;1228,20;263;;69;3;"4
                                                                                    von 3"; 13581 Berlin, Spandau;Verbrauchsausweis;;1962;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Öl;;https://www.wohnungsboerse.net/immodetail/34364887
Leibnizstraße 29, 10625 Berlin;1170;1050;120;;37;1;"3
                                                                                    von 6"; 10625 Berlin, Charlottenburg;Aufzug, Keller, Tiere erlaubt;;1972;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Ab sofort bezugsfrei;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34374131
Exklusive möblierte Wohnung im schönen Akazienkiez / Schöneberg fußläufig zum KaDeWe und Wittenbergp;2946,40;2490;456,40;;163;4;; 10777 Berlin, Schöneberg;Möbliert;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.3.2024;;;;https://www.wohnungsboerse.net/immodetail/34300439
Luxuriöse Penthauswohnung mit großer Dachterrasse und herrlichem Blick über Berlin;3190;2790;400;;144;4;"5
                                                                                    von 5"; 10369 Berlin, Lichtenberg;Aufzug, Keller, Behindertengerecht;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Verfügbar;03.04.24;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34415364
2 Zimmer, Luxus, Tiefgaragenstellplatz;1409;1125;284;;45;2;"2
                                                                                    von 7"; 10785 Berlin, Tiergarten;Aufzug, Garage, Stellplatz, Keller, Tiere erlaubt, Behindertengerecht, Verbrauchsausweis;;2016;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34419469
Möblierte Wohnung in der Oasis Berlin!;1798;1418;380;;45;2;4; 10555 Berlin, Tiergarten;Möbliert, Aufzug, Keller, Bedarfsausweis, NOT_APPLICABLE;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34419457
Gipsstraße am Park 3 Zi-DG-Maisonette-Whg mit EBK;4395;3750;645;;150;3;"3
                                                                                    von 4"; 10119 Berlin, Mitte;Tiere erlaubt, Energieausweis in Vorbereitung;;1870;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34419413
5 Zi-Whg an der Museumsinsel 2 Balkone Aufzug Concierge TG EBK (3.1);4881,24;3915,24;966;;190.4;5;"3
                                                                                    von 8"; 10178 Berlin, Mitte;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, Bedarfsausweis;;2004;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2024;B;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34419414
2-Zimmer, Möbliert, Untermieter gesucht, 12 Monate;700;700;;;50;2;"3
                                                                                    von 3";;Möbliert, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;21.04.2024;;;;https://www.wohnungsboerse.net/immodetail/34419358
Perfectly located and beautifully designed 3-room furnished apartment;2490;1800;690;;90;3;"4
                                                                                    von 5"; 10965 Berlin, Kreuzberg;Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;1.5.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34419378
Schöne 2-Zimmer-Wohnung  unbefristet zur Untermiete nahe U Osloer Straße;1240;1050;190;;55;2;;;Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;19.3.2024;;;;https://www.wohnungsboerse.net/immodetail/34419381
6 Monate Untermiete - wunderschöne Wohnung in Berlin Mitte;2400;2000;400;;97;3;"1
                                                                                    von 4"; 10119 Berlin, Mitte;Aufzug;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;1.5.2024;;;;https://www.wohnungsboerse.net/immodetail/34419328
Schöne 2-Zimmer-Erstbezugswohnung mit Dachterrassen;1536,67;1295;241,67;;69.05;2;"3
                                                                                    von 3"; 10318 Berlin, Karlshorst;Aufzug, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;2024-03-20;;;;https://www.wohnungsboerse.net/immodetail/34253824
Schöne 3-Zimmer-Erstbezugswohnung mit einem Balkon, inkl. Straßenstellplatz;1551,56;1315;236,56;;67.59;3;"1
                                                                                    von 5"; 10318 Berlin, Karlshorst;Aufzug, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-03-20;;;;https://www.wohnungsboerse.net/immodetail/34253826
Moderne 1-Zimmer-Wohnung mit Balkon und voller Ausstattung in Mariendorf;2800;2450;350;;71;3;"3
                                                                                    von 5";;Tiere erlaubt, Energieausweis in Vorbereitung;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34362127
Tauschwohnung: 1 Zimmer PBerg gegen ab 1,5 Zimmer m Balkon;828;705;123;;44;1;2;;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/34396195
ERSTBEZUG 4 Zimmer in Lichterfelde mit tollem Balkon und Fahrstuhl;2782,20;2532,20;250;;115.1;4;;;Aufzug;;2021;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/34064948
Voll möblierte Wohnung direkt am U-Bahnhof Halemweg;1360;980;380;;34;1;;;Möbliert, Aufzug, Keller;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.wohnungsboerse.net/immodetail/34388366
Erstbezug Neubau Dachgeschoßwohnung mit 360 Grad Blick nahe Kudamm mit Top Ausstattung;3116;2794;322;;101.11;3;"5
                                                                                    von 5"; 10711 Berlin, Wilmersdorf;Aufzug, Keller, Neubau, Energieausweis in Vorbereitung;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Dezember;;;;https://www.wohnungsboerse.net/immodetail/33479896
Auf Zeit: Geschmackvoll und gemütlich möblierte 3-Zimmer-Wohnung in Fehrbelliner Straße, Berlin;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>21,11";1900;;;90;3;"2
                                                                                    von 5";;Möbliert, Aufzug;;1898;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.10.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34379772
cosy furnished apartment with two bedrooms centrally in Prenzlauer Berg;2100;1900;200;;68;2;"3
                                                                                    von 5"; 10439 Berlin, Prenzlauer Berg;Keller, Verbrauchsausweis;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/33649169
Erstbezug nach Sanierung - Wohnung direkt am Ku´Damm;2070;1819,80;250,20;;67.4;2;"4
                                                                                    von 4"; 10719 Berlin, Charlottenburg;Energieausweis nicht notwendig (Denkmalschutz);;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34418299
exclusives Penthouse für höchste Ansprüche ab Mai 24;5900;5200;700;;185;6;"5
                                                                                    von 5"; 10719 Berlin, Wilmersdorf;Aufzug, Keller, Verbrauchsausweis;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Mai 2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34366534
***Moderne Wohnung, unmöbliert und unbefristet***;2450;2000;450;;105;3;"3
                                                                                    von 5"; 10439 Berlin, Pankow;Möbliert, Aufzug, Keller, Tiere erlaubt, Bedarfsausweis;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;1.5.2024;B;Gas;;https://www.wohnungsboerse.net/immodetail/34374501
"Erstbezug! Traumhafte 2-Zi. Whg. mit Balkon &amp; EBK";2196;1920;276;;78.75;2;"1
                                                                                    von 6"; 10779 Berlin, Wilmersdorf;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, Bedarfsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34418180
"Erstbezug: komfortable 3-Zi-Wohnung im ruhigen Weitlingkiez; Besichtigung am 23.03.24 nach Absprache";2184;1890;294;;83.99;3;"3
                                                                                    von 6"; 10317 Berlin, Lichtenberg;Aufzug, Keller, Neubau, Behindertengerecht, Bedarfsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34393127
Wunderschönes Galerie-Apartment in Spindlersfeld!;1057,62;893,28;164,34;;37.22;1.5;; 12555 Berlin, Köpenick;Aufzug, Keller, Tiere erlaubt, KWK, Bedarfsausweis;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;E;;;https://www.wohnungsboerse.net/immodetail/34411749
Fabrikcharme in Spindlersfeld - 2 Räume, EBK, Tiefgarage!!!;1209,37;967,37;242;;52.29;2;"2
                                                                                    von 3"; 12555 Berlin, Köpenick;Aufzug, Garage, Keller, Bedarfsausweis;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;D;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34418155
Helle 1-Raumwohnung mit Einbauküche und Balkon;839;709;130;;39;1;"6
                                                                                    von 13"; 12687 Berlin, Marzahn;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, Bedarfsausweis;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;nach Vereinbarung;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34418163
Ideale Citywohnung nahe Hauptbahnhof - Bezug Juni 2024;1931,57;1551,59;379,98;;63.33;2;"5
                                                                                    von 7"; 10557 Berlin, Tiergarten;Aufzug, Keller, Tiere erlaubt, Bedarfsausweis;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34418035
Modernes Wohnen im QH Straight: Erstbezug ab Juni 2024;2567,09;2044,97;522,12;;87.02;3;"2
                                                                                    von 7"; 10557 Berlin, Tiergarten;Aufzug, Keller, Tiere erlaubt, Bedarfsausweis;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34418039
Vollständig möblierte, elegante 3-Zimmer-Wohnung in Schöneberg;2590;2290;300;;86.42;3;"1
                                                                                    von 5";;Möbliert, Keller, Energieausweis in Vorbereitung;;1890;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34418044
Voll möblierte 1-Zimmer Wohnung nahe Stadtpark Steglitz;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>38,37";940;;;24.5;1;4; 12167 Berlin, Steglitz;Möbliert, Aufzug;;1966;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;C;Gas;;https://www.wohnungsboerse.net/immodetail/34418058
Neu renovierte 1 Zimmer Wohnung mit separater Küche zu vermieten, Berlin Steglitz!;795;655;140;;38;1;"2
                                                                                    von 4";;Keller, Bedarfsausweis;;1963;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34418061
Möbliertes 2 Zimmer Apartment mit Balkon am Helmholtzplatz - frei ab Mai 2024;1750;1325;425;;57.07;2;"1
                                                                                    von 5"; 10437 Berlin, Prenzlauer Berg;Möbliert, Aufzug, Keller, Tiere erlaubt, Verbrauchsausweis;;1905;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Mai 2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34418065
Lieben Sie das Besondere -Dachgeschoß mit Dachterrasse an der Spree, mit EBK, Aufzug;1576,14;1275,30;300,84;;65.4;2;"3
                                                                                    von 3"; 12555 Berlin, Köpenick;Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;sofort;;;;https://www.wohnungsboerse.net/immodetail/34417971
Hochwertig renovierte u. möblierte 3 Zi.-Wohnung - BEFRISTET! Nähe Kurfürstendamm/Savignyplatz;2900;2450;450;;96;3;"4
                                                                                    von 5"; 10625 Berlin, Charlottenburg;Möbliert, Aufzug, Keller, Verbrauchsausweis;;1914;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;1.8.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34417997
Idyllisch Wohnen auf Zeit - 2 Zimmer voll möbliert mitten in Mitte;2500;2000;500;;75.34;2;;;Möbliert, Aufzug, Keller, Wohnen auf Zeit, Bedarfsausweis;;2002;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;sofort;C;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34417877
Helle Dachgeschosswohnung, 3-Zimmer in Treptow-Köpenick;1654,49;1408,49;246;;83.2;3;"5
                                                                                    von 5"; 12439 Berlin, Niederschöneweide;Aufzug, Keller;;2016;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33997240
Green Village - Königsheide;1674,30;1294,30;380;;73.96;2;"2
                                                                                    von 3"; 12487 Berlin, Johannisthal;Keller, Tiere erlaubt, Bedarfsausweis;;1952;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34417821
neues, sensationelles Dachgeschoß LUDWIG KIRCH Platz ab Mai;6950;6080;870;;213;6;"5
                                                                                    von 5"; 10719 Berlin, Wilmersdorf;Aufzug, Keller, Verbrauchsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Mai 2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34392951
WG Zimmer (Frauen) mit EBK und Balkon in Biesdorf (Marzahn), Berlin;700;700;;;20;1;;;Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;1.4.2024;;;;https://www.wohnungsboerse.net/immodetail/34414223
Zwischenmiete 1.4.-28.4. - Kleine Alexanderstraße 1, 10178 Berlin;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>23,64";1300;;;55;2;"3
                                                                                    von 5"; 10178 Berlin, Mitte;Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34417790
Erstbezug ab Juni 24 - stylischer Sichtbeton meets Smart Home. Jetzt Musterwohnung besichtigen;3479,75;2806,25;673,50;;112.25;4;"6
                                                                                    von 7"; 10557 Berlin, Tiergarten;Aufzug, Keller, Tiere erlaubt, Bedarfsausweis;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34417723
Modernes Wohnen in der Europacity - ideal für Singles, Paare und Pendler!;2036,39;1622,21;414,18;;69.03;2;"2
                                                                                    von 7"; 10557 Berlin, Tiergarten;Aufzug, Keller, Tiere erlaubt, Bedarfsausweis;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34417724
*Erstbezug* Lichtdurchflutet, geräumig, mit Badewanne und Smart Home-Features;2161,28;1756,04;405,24;;67.54;2;"6
                                                                                    von 9"; 10557 Berlin, Tiergarten;Aufzug, Keller, Tiere erlaubt, Bedarfsausweis;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34417725
Neubau mit Charme und allerhand Annehmlichkeiten. Jetzt noch besichtigen!;2093,43;1688,25;405,18;;67.53;2;"4
                                                                                    von 9"; 10557 Berlin, Tiergarten;Aufzug, Keller, Neubau, Tiere erlaubt, Bedarfsausweis;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34417726
Traumwohnung direkt in der Europacity: Jetzt Besichtigung vereinbaren!;3715,66;2996,50;719,16;;119.86;3;"3
                                                                                    von 9"; 10557 Berlin, Tiergarten;Aufzug, Keller, Tiere erlaubt, Bedarfsausweis;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34417727
Neubau: inkl. EBK, Balkon zum begrünten Innenhof und tollen Smart Home-Features;2557,06;2036,98;520,08;;86.68;3;"1
                                                                                    von 7"; 10557 Berlin, Tiergarten;Aufzug, Keller, Neubau, Tiere erlaubt, Bedarfsausweis;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34417728
"Wunderschöne Wohnung  in der &quot;Fleur de Berlin&quot;";1905;1530;375;;87.71;3;"3
                                                                                    von 5";;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, Bedarfsausweis, NOT_APPLICABLE;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;frei;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34417662
***MÖBLIERTES STUDIO-APARTMENT IN BERLIN-CHARLOTTENBURG***;1400;1150;250;;45;1.5;"4
                                                                                    von 7"; 10623 Berlin, Charlottenburg;Aufzug, Bedarfsausweis;;1977;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34417649
mit Blick auf die Rummelsburger Bucht;1540;1300;240;;48.4;2;"4
                                                                                    von 5";;Aufzug, Keller, liegt vor;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;1.5.2024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34357518
Sanierte Dachgeschosswohnung mit 2 Terrassen;2180;1850;330;;91.95;3;"5
                                                                                    von 6"; 12165 Berlin, Steglitz;Verbrauchsausweis;;1965;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;Gas;;https://www.wohnungsboerse.net/immodetail/34294557
Tauschwohnung: Helle 2 Zimmer DG Wohnung Kreuzberg (eine Schräge);914;774;140;;56;2;5;;Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/34399283
Möblierte 2-Zi-Wohnung in Top-Lage Kreuzberg: Ein Traum!;1770;1410;360;;50;2;"4
                                                                                    von 5"; 10999 Berlin, Kreuzberg;Möbliert, Tiere erlaubt;;1900;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;14.03.2024;;;;https://www.wohnungsboerse.net/immodetail/34225463
SCHÖNE 1 ZI-ALTBAU IN TOPLAGE BERLIN FHAIN! NAHE BOXHAGENER PLATZ! MÖBLIERT!;950;850;100;;40;1;"2
                                                                                    von 2";;Altbau, Verbrauchsausweis;;1918;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;F;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34300744
High-End-Apartment mit Concierge, Gym und beneidenswerten Ausblicken.;2352,25;1880;472,25;;55;2;"10
                                                                                    von 10"; 10179 Berlin, Mitte;Aufzug, Behindertengerecht, Energieausweis in Vorbereitung;;2022;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34264223
Sprengelstraße Berlin Wedding ZWISCHENMIETE SUBLET April-Mai;900;900;;;54;2;;;Keller, Behindertengerecht;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;1.4.2024;;;;https://www.wohnungsboerse.net/immodetail/34414040
HOCH-MODERNES „RAUMWUNDER“ IN F’HAINER TOP-LAGE (ERSTBEZUG);1194;1110;84;;27.67;1;"2
                                                                                    von 4"; 10247 Berlin, Friedrichshain;Aufzug, Keller, Bedarfsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33681649
ruhiges Hinterhof-Loft mitten in Neukölln;1910;1600;310;;96.92;2;"2
                                                                                    von 4"; 12043 Berlin, Neukölln;Tiere erlaubt, Verbrauchsausweis;;1905;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;05/2024;D;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34416094
Komplett sanierte 3 Zimmer Wohnung im Herzen Berlins;1653,24;1349,25;303,99;;77.1;3;"1
                                                                                    von 5"; 13353 Berlin, Wedding;Keller, Verbrauchsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34053166
Große und Helle Wohnung in Familienfreundlicher Lage;2927,07;2307,07;620;;156.2;4;; 14195 Berlin, Dahlem;Aufzug, Bedarfsausweis;;2008;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34414518
Schöne sanierte 1 Zimmer-Wohnung am Fürstenplatz, Württembergallee 26/27;620;525;95;;35;1;"1
                                                                                    von 5"; 14052 Berlin, Charlottenburg;Aufzug, Keller, Tiere erlaubt, Verbrauchsausweis, NOT_APPLICABLE;;1915;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;sofort;;Öl;;https://www.wohnungsboerse.net/immodetail/34415838
Vollmöblierte 3-Zimmer-Neubauwohnung Erstbezug;2273,21;1986,88;286,33;;70.96;3;; 13357 Berlin, Wedding;Möbliert, Aufzug, Keller, Neubau, Tiere erlaubt, Behindertengerecht, Verbrauchsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Ab sofort;;;;https://www.wohnungsboerse.net/immodetail/34235657
Tauschwohnung: Biete 2 Wohnungen (1,5-Zimmer-Wohnung + 2 Zimmer-Wohnung);836;752;84;;60;2;2;;Keller;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/34399425
Möbliert/ furnished sunny apartment in Prenzlauer Berg;1890;1700;190;;60;2;"3
                                                                                    von 5"; 10437 Berlin, Prenzlauer Berg;Möbliert, Keller, Altbau, Tiere erlaubt;;1912;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Ab sofort bezugsfrei;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34043023
