Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
"Attraktive 2-Zimmer-Wohnung mit Balkon im &quot;Embassy&quot;";1646,14;1362;284,14;;40.65;2;"5
                                                                                    von 5"; 10179 Berlin, Mitte;Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-05-01;;;;https://www.wohnungsboerse.net/immodetail/34423935
Wunderschöne 3 Zimmer Whg.  nähe Friedrichshain;1739,46;1480,95;258,51;;64.63;3;"1
                                                                                    von 4"; 10315 Berlin, Friedrichsfelde;Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-06-01;;;;https://www.wohnungsboerse.net/immodetail/34423936
Möblierte 2-Zimmer Wohnung in Mitte - 15 Min. vom Hauptbahnhof;1811,32;1299;512,32;;47.48;2;"1
                                                                                    von 18"; 10557 Berlin, Tiergarten;Möbliert, Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;2024-05-01;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423937
Schöne 3-Zimmer-Erstbezugswohnung mit Loggia, inkl. Tiefgaragenstellplatz;1845,48;1580;265,48;;75.85;3;; 10318 Berlin, Karlshorst;Loggia, Aufzug, Garage, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423938
Mitte - Schön geschnitten möbliert u. Balkon-2 Zi.Apartment;1860;1500;360;;60;2;"3
                                                                                    von 5"; 10557 Berlin, Tiergarten;Möbliert, Aufzug, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-07-01;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423939
Schöne 3-Zimmer-Erstbezugswohnung mit Loggia und Terrasse, inkl. Tiefgaragenstellplatz;2045,56;1751;294,56;;84.16;3;; 10318 Berlin, Karlshorst;Loggia, Aufzug, Garage, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423942
Schöne 3-Zimmer-Erstbezugswohnung mit Loggia und Terrasse, inkl. Tiefgaragenstellplatz;2045,56;1751;294,56;;84.16;3;; 10318 Berlin, Karlshorst;Loggia, Aufzug, Garage, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423943
Schöne 4-Zimmer-Erstbezugswohnung mit Loggia und Terrasse, inkl. Tiefgaragenstellplatz;2203,23;1875;328,23;;93.78;4;; 10318 Berlin, Karlshorst;Loggia, Aufzug, Garage, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423944
Schöne 4-Zimmer-Erstbezugswohnung mit Loggia und Terrasse, inkl. Tiefgaragenstellplatz;2211,56;1875;336,56;;96.16;4;; 10318 Berlin, Karlshorst;Loggia, Aufzug, Garage, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423945
"Unmöbliert 1 Zimmer Studio mit EBK, Aufzug &amp; Balkon - Lichtenberg";915;770;145;;29.7;1;"3
                                                                                    von 11"; 10315 Berlin, Friedrichsfelde;Möbliert, Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423947
Unmöbliert 1 Zimmer Studio mit Balkon - 25 Min. vom Alexanderplatz;924;779;145;;29.7;1;"2
                                                                                    von 10"; 10315 Berlin, Friedrichsfelde;Möbliert, Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423948
Unmöbliert 1 Zimmer Studio, Balkon 25 Min. von Alexaxnderplatz;928;783;145;;29.7;1;"4
                                                                                    von 10"; 10315 Berlin, Friedrichsfelde;Möbliert, Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-03-21;;;;https://www.wohnungsboerse.net/immodetail/34423949
Möbliert 1 Zimmer Studio, Balkon 25 Min. von Alexaxnderplatz;1058;913;145;;29.7;1;"4
                                                                                    von 10"; 10315 Berlin, Friedrichsfelde;Möbliert, Aufzug;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2024-03-20;;;;https://www.wohnungsboerse.net/immodetail/34423857
Modernisierte Altbauwohnung mit abgez. Dielen und Balkon in Schöneberg! Erstbezug!;890;750;140;;57.29;2;"3
                                                                                    von 5"; 10823 Berlin, Schöneberg;Altbau, Tiere erlaubt, Verbrauchsausweis;;1900;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;E;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423867
"ARBEITEN &amp; WOHNEN - UMFELD LIETZENSEE- ** 2020 SANIERT/ RENOVIERT **";4125;3245;880;;220;4;"3
                                                                                    von 5";;Aufzug, Tiere erlaubt, Bedarfsausweis;;1911;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423868
"ARBEITEN &amp; WOHNEN 2024 NEU RENOVIERT / MODERNISIERT  -  KREUZBERG";3000;2380;620;;170;4;"5
                                                                                    von 5";;Tiere erlaubt, Verbrauchsausweis;;1960;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;kurzfristig;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/34423875
Zauber in Friedrichshain--Schöne möblierte Wohnung zentral sucht......;1450;1250;200;;47;1;; 10247 Berlin, Friedrichshain;Möbliert, Tiere erlaubt, Energieausweis in Vorbereitung;;1908;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;17.03.2024;;;;https://www.wohnungsboerse.net/immodetail/34423891
